GammaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ExploitationLevel
0.05,Micro,0.3528,0.2449,980.00,0.0956,0.15
0.05,Small,0.6908,0.5267,2310.00,543.4053,0.15
0.05,Medium,0.6992,0.5370,4620.00,481.8232,0.15
0.10,Micro,0.3528,0.2449,980.00,0.0956,0.30
0.10,Small,0.6908,0.5267,2310.00,543.4053,0.30
0.10,Medium,0.6992,0.5370,4620.00,481.8232,0.30
0.15,Micro,0.3528,0.2449,980.00,0.0956,0.45
0.15,Small,0.6908,0.5267,2310.00,543.4053,0.45
0.15,Medium,0.6992,0.5370,4620.00,481.8232,0.45
0.20,Micro,0.3528,0.2449,980.00,0.0956,0.60
0.20,Small,0.6908,0.5267,2310.00,543.4053,0.60
0.20,Medium,0.6992,0.5370,4620.00,481.8232,0.60
0.25,Micro,0.3528,0.2449,980.00,0.0956,0.75
0.25,Small,0.6908,0.5267,2310.00,543.4053,0.75
0.25,Medium,0.6992,0.5370,4620.00,481.8232,0.75
0.30,Micro,0.3528,0.2449,980.00,0.0956,0.90
0.30,Small,0.6908,0.5267,2310.00,543.4053,0.90
0.30,Medium,0.6992,0.5370,4620.00,481.8232,0.90
