Algorithm,VmCount,HostCount,ExecutionTime,MemoryUsage,CpuUtilization,QualityScore,SuccessRate
GA,50,10,0.607,0.0,0.7579208333333334,0.0,1.0
GA,50,10,0.605,0.0,0.7579208333333334,0.0,1.0
GA,50,10,0.603,0.0,0.7476270833333333,0.0,1.0
GA,50,10,0.595,0.0,0.7480770833333334,0.0,1.0
GA,50,10,0.616,0.0,0.7556125,0.0,1.0
GA,50,10,0.606,0.0,0.7534583333333333,0.0,1.0
GA,50,10,0.62,0.0,0.7477541666666666,0.0,1.0
GA,50,10,0.631,0.0,0.74433125,0.0,1.0
GA,50,10,0.626,0.0,0.7541395833333333,0.0,1.0
GA,50,10,0.627,0.0,0.7531812500000001,0.0,1.0
GA,100,20,1.14,0.0,0.7328135416666666,0.0,1.0
GA,100,20,1.132,0.0,0.7328135416666666,0.0,1.0
GA,100,20,1.127,0.0,0.7410822916666666,0.0,1.0
GA,100,20,1.094,0.0,0.7357812499999998,0.0,1.0
GA,100,20,1.127,0.0,0.7402843750000001,0.0,1.0
GA,100,20,1.113,0.0,0.7416645833333334,0.0,1.0
GA,100,20,1.131,0.0,0.7317187500000001,0.0,1.0
GA,100,20,1.131,0.0,0.73149375,0.0,1.0
GA,100,20,1.131,0.0,0.726778125,0.0,1.0
GA,100,20,1.124,0.0,0.7467979166666666,0.0,1.0
GA,10,4,0.066,0.0,0.36478125,0.0,1.0
GA,10,4,0.063,0.0,0.36478125,0.0,1.0
GA,10,4,0.059,0.0,0.4718333333333333,0.0,1.0
GA,10,4,0.071,0.0,0.35971875,0.0,1.0
GA,10,4,0.052,0.0,0.35931250000000003,0.0,1.0
GA,10,4,0.067,0.0,0.47225,0.0,1.0
GA,10,4,0.066,0.0,0.4737395833333333,0.0,1.0
GA,10,4,0.061,0.0,0.35784375,0.0,1.0
GA,10,4,0.068,0.0,0.47796875,0.0,1.0
GA,10,4,0.07,0.0,0.476125,0.0,1.0
