Algorithm,VmCount,HostCount,ExecutionTime,MemoryUsage,CpuUtilization,QualityScore,SuccessRate
GA,50,10,0.616,0.0,0.7579208333333334,0.0,1.0
GA,50,10,0.598,0.0,0.7579208333333334,0.0,1.0
GA,50,10,0.608,0.0,0.7476270833333333,0.0,1.0
GA,50,10,0.628,0.0,0.7480770833333334,0.0,1.0
GA,50,10,0.604,0.0,0.7556125,0.0,1.0
GA,50,10,0.596,0.0,0.7534583333333333,0.0,1.0
GA,50,10,0.595,0.0,0.7477541666666666,0.0,1.0
GA,50,10,0.583,0.0,0.74433125,0.0,1.0
GA,50,10,0.61,0.0,0.7541395833333333,0.0,1.0
GA,50,10,0.612,0.0,0.7531812500000001,0.0,1.0
GA,100,20,1.134,0.0,0.7328135416666666,0.0,1.0
GA,100,20,1.112,0.0,0.7328135416666666,0.0,1.0
GA,100,20,1.149,0.0,0.7410822916666666,0.0,1.0
GA,100,20,1.149,0.0,0.7357812499999998,0.0,1.0
GA,100,20,1.114,0.0,0.7402843750000001,0.0,1.0
GA,100,20,1.15,0.0,0.7416645833333334,0.0,1.0
GA,100,20,1.137,0.0,0.7317187500000001,0.0,1.0
GA,100,20,1.15,0.0,0.73149375,0.0,1.0
GA,100,20,1.139,0.0,0.726778125,0.0,1.0
GA,100,20,1.124,0.0,0.7467979166666666,0.0,1.0
GA,10,4,0.081,0.0,0.36478125,0.0,1.0
GA,10,4,0.059,0.0,0.36478125,0.0,1.0
GA,10,4,0.065,0.0,0.4718333333333333,0.0,1.0
GA,10,4,0.061,0.0,0.35971875,0.0,1.0
GA,10,4,0.063,0.0,0.35931250000000003,0.0,1.0
GA,10,4,0.063,0.0,0.47225,0.0,1.0
GA,10,4,0.064,0.0,0.4737395833333333,0.0,1.0
GA,10,4,0.07,0.0,0.35784375,0.0,1.0
GA,10,4,0.081,0.0,0.47796875,0.0,1.0
GA,10,4,0.08,0.0,0.476125,0.0,1.0
