Algorithm,VmCount,HostCount,ExecutionTime,MemoryUsage,CpuUtilization,QualityScore,SuccessRate
GA,50,10,0.509,0.0,0.7579208333333334,0.0,1.0
GA,50,10,0.509,0.0,0.7579208333333334,0.0,1.0
GA,50,10,0.508,0.0,0.7476270833333333,0.0,1.0
GA,50,10,0.505,0.0,0.7480770833333334,0.0,1.0
GA,50,10,0.508,0.0,0.7556125,0.0,1.0
GA,50,10,0.508,0.0,0.7534583333333333,0.0,1.0
GA,50,10,0.508,0.0,0.7477541666666666,0.0,1.0
GA,50,10,0.509,0.0,0.74433125,0.0,1.0
GA,50,10,0.505,0.0,0.7541395833333333,0.0,1.0
GA,50,10,0.505,0.0,0.7531812500000001,0.0,1.0
GA,100,20,1.015,0.0,0.7328135416666666,0.0,1.0
GA,100,20,1.012,0.0,0.7328135416666666,0.0,1.0
GA,100,20,1.01,0.0,0.7410822916666666,0.0,1.0
GA,100,20,1.01,0.0,0.7357812499999998,0.0,1.0
GA,100,20,1.01,0.0,0.7402843750000001,0.0,1.0
GA,100,20,1.01,0.0,0.7416645833333334,0.0,1.0
GA,100,20,1.015,0.0,0.7317187500000001,0.0,1.0
GA,100,20,1.01,0.0,0.73149375,0.0,1.0
GA,100,20,1.01,0.0,0.726778125,0.0,1.0
GA,100,20,1.014,0.0,0.7467979166666666,0.0,1.0
GA,10,4,0.004,0.0,0.36478125,0.0,1.0
GA,10,4,0.003,0.0,0.36478125,0.0,1.0
GA,10,4,0.003,0.0,0.4718333333333333,0.0,1.0
GA,10,4,0.003,0.0,0.35971875,0.0,1.0
GA,10,4,0.003,0.0,0.35931250000000003,0.0,1.0
GA,10,4,0.005,0.0,0.47225,0.0,1.0
GA,10,4,0.005,0.0,0.4737395833333333,0.0,1.0
GA,10,4,0.003,0.0,0.35784375,0.0,1.0
GA,10,4,0.002,0.0,0.47796875,0.0,1.0
GA,10,4,0.002,0.0,0.476125,0.0,1.0
